country|points|price
US|84|12.0
Italy|87|15.0
US|86|48.0
US|89|150.0
Italy|89|59.0
US|87|25.0
Italy|87|26.0
Spain|85|20.0
US|89|20.0
US|92|25.0
Italy|88|49.0
Portugal|83|16.0
France|88|85.0
Italy|87|12.0
France|93|
US|85|18.0
US|88|46.0
France|89|20.0
Argentina|81|6.0
Argentina|85|13.0
US|92|28.0
US|85|60.0
Italy|90|23.0
US|91|45.0
Australia|88|15.0
US|83|14.0
US|85|35.0
Austria|94|
US|86|17.0
US|84|19.0
US|89|15.0
Italy|89|40.0
Italy|92|
New Zealand|88|20.0
US|88|45.0
US|83|17.0
Italy|87|
US|83|10.0
Italy|88|14.0
US|86|18.0
US|87|18.0
South Africa|90|29.0
Argentina|84|11.0
Italy|88|21.0
Italy|88|26.0
France|87|15.0
Spain|89|9.0
Italy|87|15.0
France|90|80.0
US|88|75.0
South Africa|89|30.0
Chile|84|15.0
Australia|85|
US|85|29.0
US|85|18.0
US|90|32.0
Portugal|83|9.0
Australia|90|30.0
Argentina|86|15.0
France|90|60.0
Italy|88|13.0
US|88|38.0
US|87|32.0
US|87|11.0
Italy|91|
US|87|32.0
France|90|
US|88|54.0
Portugal|91|24.0
France|83|13.0
Chile|87|13.0
US|86|20.0
US|87|45.0
Spain|85|14.0
US|92|70.0
US|92|75.0
Argentina|92|55.0
Spain|81|6.0
US|87|16.0
Chile|86|9.0
Italy|88|80.0
US|88|16.0
Spain|86|30.0
Chile|90|35.0
US|92|118.0
Chile|85|10.0
Italy|88|32.0
France|92|149.0
Italy|86|15.0
New Zealand|90|24.0
US|84|29.0
US|90|25.0
US|87|50.0
US|87|80.0
US|90|60.0
US|85|18.0
Germany|87|11.0
Australia|84|15.0
Italy|87|
US|86|32.0
South Africa|91|26.0
Spain|85|14.0
France|87|10.0
Italy|87|15.0
US|87|15.0
Italy|84|22.0
US|91|16.0
US|83|10.0
South Africa|88|15.0
US|90|36.0
US|84|16.0
US|85|20.0
Italy|90|32.0
France|91|
Germany|97|250.0
US|87|23.0
Argentina|88|45.0
US|81|10.0
Italy|90|41.0
Italy|85|10.0
France|87|
Italy|91|
US|90|21.0
France|86|15.0
US|86|14.0
US|87|55.0
Spain|84|15.0
Italy|89|46.0
New Zealand|85|28.0
US|84|30.0
Italy|89|44.0
Italy|88|38.0
France|91|30.0
US|91|30.0
France|92|
US|83|11.0
Chile|89|28.0
US|83|25.0
Spain|84|16.0
US|94|120.0
South Africa|83|9.0
US|90|15.0
Italy|92|30.0
France|86|
US|88|32.0
US|88|28.0
France|86|
US|94|70.0
South Africa|87|30.0
US|84|14.0
Argentina|87|27.0
US|83|36.0
Australia|86|17.0
Spain|87|17.0
France|85|
US|90|34.0
US|88|13.0
US|90|22.0
Italy|88|15.0
US|87|13.0
Argentina|85|11.0
Spain|85|75.0
US|82|15.0
US|87|30.0
Italy|88|20.0
Portugal|89|18.0
US|84|16.0
France|84|11.0
New Zealand|87|38.0
France|86|17.0
US|94|60.0
US|93|30.0
US|84|36.0
US|87|25.0
Germany|88|45.0
US|87|12.0
New Zealand|89|25.0
US|86|40.0
Italy|89|25.0
France|88|16.0
Spain|89|29.0
Italy|87|
Spain|92|70.0
US|85|32.0
US|91|21.0
