School Name,Location Code,District,New?
P.S. 015 ROBERTO CLEMENTE,01M015,1,Y
P.S. 019 ASHER LEVY,01M019,1,Y
P.S. 020 ANNA SILVER,01M020,1,Y
P.S. 034 FRANKLIN D. ROOSEVELT,01M034,1,Y
THE STAR ACADEMY - P.S.63,01M063,1,Y
P.S. 064 ROBERT SIMON,01M064,1,Y
P.S. 110 FLORENCE NIGHTINGALE,01M110,1,Y
P.S. 134 HENRIETTA SZOLD,01M134,1,Y
P.S. 140 NATHAN STRAUS,01M140,1,Y
P.S. 142 AMALIA CASTRO,01M142,1,Y
P.S. 184M SHUANG WEN,01M184,1,Y
P.S. 188 THE ISLAND SCHOOL,01M188,1,Y
ORCHARD COLLEGIATE ACADEMY,01M292,1,Y
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",01M301,1,Y
THE EAST VILLAGE COMMUNITY SCHOOL,01M315,1,Y
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,01M332,1,Y
THE CHILDREN'S WORKSHOP SCHOOL,01M361,1,Y
NEIGHBORHOOD SCHOOL,01M363,1,Y
EARTH SCHOOL,01M364,1,Y
SCHOOL FOR GLOBAL LEADERS,01M378,1,Y
EAST SIDE COMMUNITY SCHOOL,01M450,1,Y
"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",01M539,1,Y
TOMPKINS SQUARE MIDDLE SCHOOL,01M839,1,Y
P.S. 001 ALFRED E. SMITH,02M001,2,Y
P.S. 002 MEYER LONDON,02M002,2,Y
P.S. 003 CHARRETTE SCHOOL,02M003,2,Y
P.S. 006 LILLIE D. BLAKE,02M006,2,Y
P.S. 011 WILLIAM T. HARRIS,02M011,2,Y
P.S. 033 CHELSEA PREP,02M033,2,Y
P.S. 040 AUGUSTUS SAINT-GAUDENS,02M040,2,Y
P.S. 041 GREENWICH VILLAGE,02M041,2,Y
P.S. 042 BENJAMIN ALTMAN,02M042,2,Y
P.S. 051 ELIAS HOWE,02M051,2,Y
P.S. 059 BEEKMAN HILL INTERNATIONAL,02M059,2,Y
