Pokemon_ID,Name,Type,HP,Attack,Defense,Speed,Legendary
1,Bulbasaur,Grass,45,49,49,45,False
2,Ivysaur,Grass,60,62,63,60,False
3,Venusaur,Grass,80,82,83,80,False
3,VenusaurMega Venusaur,Grass,80,100,123,80,False
4,Charmander,Fire,39,52,43,65,False
5,Charmeleon,Fire,58,64,58,80,False
6,Charizard,Fire,78,84,78,100,False
6,CharizardMega Charizard X,Fire,78,130,111,100,False
6,CharizardMega Charizard Y,Fire,78,104,78,100,False
7,Squirtle,Water,44,48,65,43,False
8,Wartortle,Water,59,63,80,58,False
9,Blastoise,Water,79,83,100,78,False
9,BlastoiseMega Blastoise,Water,79,103,120,78,False
10,Caterpie,Bug,45,30,35,45,False
11,Metapod,Bug,50,20,55,30,False
12,Butterfree,Bug,60,45,50,70,False
13,Weedle,Bug,40,35,30,50,False
14,Kakuna,Bug,45,25,50,35,False
15,Beedrill,Bug,65,90,40,75,False
15,BeedrillMega Beedrill,Bug,65,150,40,145,False
16,Pidgey,Normal,40,45,40,56,False
17,Pidgeotto,Normal,63,60,55,71,False
18,Pidgeot,Normal,83,80,75,101,False
18,PidgeotMega Pidgeot,Normal,83,80,80,121,False
19,Rattata,Normal,30,56,35,72,False
20,Raticate,Normal,55,81,60,97,False
21,Spearow,Normal,40,60,30,70,False
22,Fearow,Normal,65,90,65,100,False
23,Ekans,Poison,35,60,44,55,False
24,Arbok,Poison,60,85,69,80,False
25,Pikachu,Electric,35,55,40,90,False
26,Raichu,Electric,60,90,55,110,False
27,Sandshrew,Ground,50,75,85,40,False
28,Sandslash,Ground,75,100,110,65,False
29,Nidoran♀,Poison,55,47,52,41,False
30,Nidorina,Poison,70,62,67,56,False
31,Nidoqueen,Poison,90,92,87,76,False
32,Nidoran♂,Poison,46,57,40,50,False
33,Nidorino,Poison,61,72,57,65,False
34,Nidoking,Poison,81,102,77,85,False
35,Clefairy,Fairy,70,45,48,35,False
36,Clefable,Fairy,95,70,73,60,False
37,Vulpix,Fire,38,41,40,65,False
38,Ninetales,Fire,73,76,75,100,False
39,Jigglypuff,Normal,115,45,20,20,False
40,Wigglytuff,Normal,140,70,45,45,False
41,Zubat,Poison,40,45,35,55,False
42,Golbat,Poison,75,80,70,90,False
43,Oddish,Grass,45,50,55,30,False
44,Gloom,Grass,60,65,70,40,False
45,Vileplume,Grass,75,80,85,50,False
46,Paras,Bug,35,70,55,25,False
47,Parasect,Bug,60,95,80,30,False
48,Venonat,Bug,60,55,50,45,False
49,Venomoth,Bug,70,65,60,90,False
50,Diglett,Ground,10,55,25,95,False
51,Dugtrio,Ground,35,80,50,120,False
52,Meowth,Normal,40,45,35,90,False
53,Persian,Normal,65,70,60,115,False
54,Psyduck,Water,50,52,48,55,False
55,Golduck,Water,80,82,78,85,False
56,Mankey,Fighting,40,80,35,70,False
57,Primeape,Fighting,65,105,60,95,False
58,Growlithe,Fire,55,70,45,60,False
59,Arcanine,Fire,90,110,80,95,False
60,Poliwag,Water,40,50,40,90,False
61,Poliwhirl,Water,65,65,65,90,False
62,Poliwrath,Water,90,95,95,70,False
63,Abra,Psychic,25,20,15,90,False
64,Kadabra,Psychic,40,35,30,105,False
65,Alakazam,Psychic,55,50,45,120,False
65,AlakazamMega Alakazam,Psychic,55,50,65,150,False
66,Machop,Fighting,70,80,50,35,False
67,Machoke,Fighting,80,100,70,45,False
68,Machamp,Fighting,90,130,80,55,False
69,Bellsprout,Grass,50,75,35,40,False
70,Weepinbell,Grass,65,90,50,55,False
71,Victreebel,Grass,80,105,65,70,False
72,Tentacool,Water,40,40,35,70,False
73,Tentacruel,Water,80,70,65,100,False
74,Geodude,Rock,40,80,100,20,False
75,Graveler,Rock,55,95,115,35,False
76,Golem,Rock,80,120,130,45,False
77,Ponyta,Fire,50,85,55,90,False
78,Rapidash,Fire,65,100,70,105,False
79,Slowpoke,Water,90,65,65,15,False
80,Slowbro,Water,95,75,110,30,False
80,SlowbroMega Slowbro,Water,95,75,180,30,False
81,Magnemite,Electric,25,35,70,45,False
82,Magneton,Electric,50,60,95,70,False
83,Farfetch'd,Normal,52,65,55,60,False
84,Doduo,Normal,35,85,45,75,False
85,Dodrio,Normal,60,110,70,100,False
86,Seel,Water,65,45,55,45,False
87,Dewgong,Water,90,70,80,70,False
88,Grimer,Poison,80,80,50,25,False
89,Muk,Poison,105,105,75,50,False
90,Shellder,Water,30,65,100,40,False
91,Cloyster,Water,50,95,180,70,False
92,Gastly,Ghost,30,35,30,80,False
93,Haunter,Ghost,45,50,45,95,False
94,Gengar,Ghost,60,65,60,110,False
94,GengarMega Gengar,Ghost,60,65,80,130,False
95,Onix,Rock,35,45,160,70,False
96,Drowzee,Psychic,60,48,45,42,False
97,Hypno,Psychic,85,73,70,67,False
98,Krabby,Water,30,105,90,50,False
99,Kingler,Water,55,130,115,75,False
100,Voltorb,Electric,40,30,50,100,False
101,Electrode,Electric,60,50,70,140,False
102,Exeggcute,Grass,60,40,80,40,False
103,Exeggutor,Grass,95,95,85,55,False
104,Cubone,Ground,50,50,95,35,False
105,Marowak,Ground,60,80,110,45,False
106,Hitmonlee,Fighting,50,120,53,87,False
107,Hitmonchan,Fighting,50,105,79,76,False
108,Lickitung,Normal,90,55,75,30,False
109,Koffing,Poison,40,65,95,35,False
110,Weezing,Poison,65,90,120,60,False
111,Rhyhorn,Ground,80,85,95,25,False
112,Rhydon,Ground,105,130,120,40,False
113,Chansey,Normal,250,5,5,50,False
114,Tangela,Grass,65,55,115,60,False
115,Kangaskhan,Normal,105,95,80,90,False
115,KangaskhanMega Kangaskhan,Normal,105,125,100,100,False
116,Horsea,Water,30,40,70,60,False
117,Seadra,Water,55,65,95,85,False
118,Goldeen,Water,45,67,60,63,False
119,Seaking,Water,80,92,65,68,False
120,Staryu,Water,30,45,55,85,False
121,Starmie,Water,60,75,85,115,False
122,Mr. Mime,Psychic,40,45,65,90,False
123,Scyther,Bug,70,110,80,105,False
124,Jynx,Ice,65,50,35,95,False
125,Electabuzz,Electric,65,83,57,105,False
126,Magmar,Fire,65,95,57,93,False
127,Pinsir,Bug,65,125,100,85,False
127,PinsirMega Pinsir,Bug,65,155,120,105,False
128,Tauros,Normal,75,100,95,110,False
129,Magikarp,Water,20,10,55,80,False
130,Gyarados,Water,95,125,79,81,False
130,GyaradosMega Gyarados,Water,95,155,109,81,False
131,Lapras,Water,130,85,80,60,False
132,Ditto,Normal,48,48,48,48,False
133,Eevee,Normal,55,55,50,55,False
134,Vaporeon,Water,130,65,60,65,False
135,Jolteon,Electric,65,65,60,130,False
136,Flareon,Fire,65,130,60,65,False
137,Porygon,Normal,65,60,70,40,False
138,Omanyte,Rock,35,40,100,35,False
139,Omastar,Rock,70,60,125,55,False
140,Kabuto,Rock,30,80,90,55,False
141,Kabutops,Rock,60,115,105,80,False
142,Aerodactyl,Rock,80,105,65,130,False
142,AerodactylMega Aerodactyl,Rock,80,135,85,150,False
143,Snorlax,Normal,160,110,65,30,False
144,Articuno,Ice,90,85,100,85,True
145,Zapdos,Electric,90,90,85,100,True
146,Moltres,Fire,90,100,90,90,True
147,Dratini,Dragon,41,64,45,50,False
148,Dragonair,Dragon,61,84,65,70,False
149,Dragonite,Dragon,91,134,95,80,False
150,Mewtwo,Psychic,106,110,90,130,True
150,MewtwoMega Mewtwo X,Psychic,106,190,100,130,True
150,MewtwoMega Mewtwo Y,Psychic,106,150,70,140,True
151,Mew,Psychic,100,100,100,100,False
152,Chikorita,Grass,45,49,65,45,False
153,Bayleef,Grass,60,62,80,60,False
154,Meganium,Grass,80,82,100,80,False
155,Cyndaquil,Fire,39,52,43,65,False
156,Quilava,Fire,58,64,58,80,False
157,Typhlosion,Fire,78,84,78,100,False
158,Totodile,Water,50,65,64,43,False
159,Croconaw,Water,65,80,80,58,False
160,Feraligatr,Water,85,105,100,78,False
161,Sentret,Normal,35,46,34,20,False
162,Furret,Normal,85,76,64,90,False
163,Hoothoot,Normal,60,30,30,50,False
