Department,Job_Title,Hourly_Rate
Seattle Public Utilities,"Civil Engrng Spec,Assoc",38.67
Seattle Dept of Transportation,Bridge Elecl Maint Supv,46.15
City Light,Plng&Dev Spec II,40.93
Seattle Center,Stage Tech *,30.42
Mayor's Office,Executive2,67.5
Office for Civil Rights,Executive2,77.12
Police Department,Pol Comms Dispatcher II,31.86
City Light,Elctn-Con,44.92
Seattle Dept of Transportation,"StratAdvsr3,Fin,Bud,&Actg",65.57
Seattle Information Technology,"Civil Engrng Spec,Asst II",33.87
Fire Department,Fireftr-Ap Drvr-90.46,42.9
Seattle Dept of Const and Insp,Code Compliance Anlyst,37.94
Fire Department,"Publc Relations Spec,Sr",37.94
Fire Department,Fireftr-90.46 Hrs,33.57
City Budget Office,"StratAdvsr1,Exempt",44.95
Seattle Public Utilities,Util Act Rep Trne,23.63
Seattle Dept of Transportation,Muni Government Intern *,19.76
Police Department,Pol Ofcr-Patrl,48.86
Office for Civil Rights,"StratAdvsr1,General Govt",41.81
Fire Department,Fireftr-90.46 Hrs,31.78
Parks Department,Util Laborer,24.5
Fire Department,Admin Spec I-BU *,21.99
City Light,Rights-Of-Way Maint Wkr,29.88
Parks Department,Pool Maint Wkr *,25.72
Fire Department,Fire Capt-90.46 Hrs,52.68
Fire Department,Executive4,102.08
City Light,Pwr Structs Mechanic CC,44.92
Parks Department,"Manager1,General Govt",52.43
Parks Department,Pool Maint Wkr,25.72
Seattle Public Utilities,Util Act Rep Supv II,39.4
Seattle Dept of Const and Insp,Housing/Zoning Inspector,35.68
Police Department,Pol Ofcr,38.6
Parks Department,Lifeguard *,16.47
Dept of Finance & Admn Svc,"Warehouser,Sr-BU",27.73
Seattle Public Utilities,"Civil Engrng Spec,Sr",48.84
City Light,"Pwr Anlyst,Sr",48.98
Fire Department,Fireftr-90.46 Hrs,37.88
Parks Department,Maint Laborer,25.39
Seattle Dept of Transportation,Admin Staff Asst,31.93
Seattle Public Utilities,"Accountant,Sr",38.56
Seattle Center,Usher *,15.68
Police Department,Pol Ofcr- Student,35.56
Planning and Community Develop,Muni Government Intern *,19.76
City Light,Marketing Dev Coord,43.38
Seattle Center,Stage Tech *,30.42
City Light,Lnwkr,46.27
Office of Economic Development,Admin Spec I-BU,22.77
Human Services,"Manager3,Exempt",64.31
Seattle Center,Stage Tech *,30.42
Seattle Dept of Const and Insp,Permit Spec I,33.83
Police Department,Pol Ofcr-Patrl,49.29
Police Department,Pol Comms Dispatcher I,30.65
Dept of Finance & Admn Svc,"Cust Svc Rep,Sr",27.79
Police Department,Pol Ofcr-Detective-Homicide,48.63
Seattle Information Technology,Info Technol Prof C-BU *,40.0
Seattle Dept of Transportation,Signal Elctn CC,50.3
City Light,Enrgy Plng Anlyst,37.85
Seattle Public Utilities,"Wtr Pipe Wkr,Sr",35.14
Parks Department,Elctn,40.72
Seattle Dept of Const and Insp,Admin Spec II-BU,25.39
Legislative-City Council,Legislative Asst,38.41
Parks Department,Golf Course Tech,26.45
City Light,Lnwkr,46.27
Parks Department,Rec Attendant,17.12
Parks Department,Lifeguard *,16.47
Human Services,Admin Spec II-BU,23.63
Neighborhoods Department,Neighb District Coord,40.93
Seattle Center,Laborer *,21.6
Parks Department,Rec Attendant,15.96
Fire Department,Fireftr-90.46 Hrs,35.36
Seattle Public Utilities,"StratAdvsr2,General Govt",56.13
Parks Department,Maint Laborer,25.39
Dept of Finance & Admn Svc,"Cust Svc Rep,Sr",28.83
Parks Department,Rec Prgm Coord,36.58
Seattle Public Utilities,StratAdvsr1 *,52.26
Seattle Center,Actg Tech II-BU,25.39
Police Department,Pol Ofcr-Patrl,44.95
City Light,Exec Asst,43.38
City Light,Meter Reader,26.18
Parks Department,Rec Leader,28.14
Fire Department,Fireftr-80 Hrs,42.82
Seattle Dept of Transportation,Constr&Maint Equip Op,30.52
Police Department,Pol Ofcr- Student,35.56
Seattle Public Utilities,Wtr Pipe Wkr-WDM I,33.07
Seattle Dept of Const and Insp,Permit Spec II,35.16
City Light,Meter Elctn Aprn,42.67
City Budget Office,"StratAdvsr2,Exempt",59.41
Seattle Information Technology,Info Technol Systs Anlyst,41.77
Parks Department,Lifeguard *,16.47
Seattle Information Technology,"Mgmt Systs Anlyst,Sr",46.8
Seattle Information Technology,Info Technol Prof B-BU,52.4
Seattle Information Technology,Info Technol Prof B-BU,56.05
Seattle Dept of Const and Insp,Admin Spec III-BU,28.51
Police Department,Pol Comms Dispatcher II,35.66
Police Department,Pol Ofcr-Patrl,44.95
Dept of Education & Early Lrng,"StratAdvsr2,Exempt",50.5
Human Services,Prgm Intake Rep,30.21
Police Department,Parking Enf Ofcr,29.89
Human Services,Plng&Dev Spec II,39.4
Seattle Dept of Transportation,"Civil Engr,Assoc",40.88
Seattle Dept of Transportation,"Gardener,Sr",29.58
Seattle Dept of Const and Insp,"Bldg Inspector,Journey",37.94
Police Department,Pol Ofcr-Diver,51.68
Seattle Dept of Transportation,Admin Spec II-BU,25.39
Fire Department,Fire Lieut-90.46 Hrs,43.98
Seattle Public Utilities,Disposal CC I,36.83
City Light,Actg Tech III-BU,29.09
Seattle Public Utilities,Wtr Pipe Wkr,32.76
Seattle Public Utilities,Info Technol Prof B-BU,52.25
Dept of Finance & Admn Svc,Actg Tech II,26.45
Police Department,Pol Comms Dispatcher I,26.41
Seattle Center,"Events Svc Rep,Sr",39.4
City Light,"Elecl Engrng Spec,Assoc *",38.67
Seattle Public Utilities,"Manager3,Engrng&Plans Rev",64.49
Seattle Public Utilities,Executive2,64.54
Fire Department,Fireftr-HM-90.46 Hrs,39.67
Office of Housing,Com Dev Spec,39.4
Seattle Dept of Transportation,"Civil Engrng Spec,Assoc",43.32
Fire Department,Fire Capt-90.46 Hrs,52.68
City Light,Strucl Iron Wkr CC,50.54
Mayor's Office,Mayoral Staff Asst 2,39.21
City Light,Lnwkr,46.27
Fire Department,Fire Lieut-90.46 Hrs,46.49
Police Department,Pol Ofcr-Patrl,48.86
Dept of Finance & Admn Svc,"StratAdvsr1,PC&RM",42.64
Seattle Public Utilities,Civil Engrng Spec Supv,51.14
Seattle Dept of Transportation,"Civil Engr,Sr",50.78
Seattle Dept of HumanResources,Labor Relations Spec,44.23
Seattle Public Utilities,"Civil Engr,Sr",48.92
Police Department,Payroll Supv,40.93
City Light,"Sfty&Hlth Spec,Sr",40.93
Seattle Information Technology,Info Technol Prof B-BU,50.62
Seattle Center,Usher *,15.68
Fire Department,"Warehouser,Chief",33.53
Seattle Center,Usher *,15.68
Parks Department,Tennis Instructor,24.93
Seattle Center,"Publc Relations Spec,Sr",39.4
Seattle Dept of Transportation,"StratAdvsr1,CSPI&P",42.03
Seattle Public Utilities,"Elecl Engrng Spec,Sr",48.84
Parks Department,Lifeguard *,16.47
Fire Department,Fire Lieut-90.46 Hrs,43.98
Seattle Public Utilities,Act Exec,46.8
City Light,Strucl Iron Wkr,44.92
Parks Department,Parks Maint Aide,15.71
City Light,"StratAdvsr2,Exempt-BU",49.73
Seattle Public Utilities,Admin Staff Asst *,29.58
Fire Department,Fireftr-Ap Drvr-90.46,42.9
Parks Department,Maint Laborer,25.39
City Light,Elecl Pwr Systs Engr,60.59
