ID,name,main_category,backers,usd_pledged_real,usd_goal_real
200590717,Brian's Songs: Love. Friendship. Dreams... and ALS,Film & Video,444,65050.5,55000.0
59178964,PUPPYCIDE: The Documentary,Film & Video,958,60397.5,100000.0
1696773081,I Believe In King The Kid,Music,676,27591.46,20000.0
1072617654,Lullabies from the Heart with Robert Robinson,Music,146,22259.32,22000.0
1003478705,The Wheelhouse: A Farm to Table Restaurant in St Joseph IL,Food,43,10205.0,10000.0
810597589,Heatit,Technology,252,16820.0,5000.0
1003481542,Air.Air! ~ Portable Air Quality Detector,Technology,292,21613.47,20000.0
101788707,The World's Best Running Shorts,Fashion,1129,69167.0,10000.0
1841330960,"Adventures of Pip - Wii U, Xbox One, PC & Mac",Games,1262,35510.99,90000.0
1712634105,The C12 by Bartaile - a convertible laptop bag,Design,554,92895.0,15000.0
356609358,CGR Supreme Series 1: Vol. 1-6 by Classic Game Room,Film & Video,161,19308.0,6500.0
1789916356,Edge Up Sports: Fantasy Football Can Be Fun Again!,Technology,1296,53497.01,35000.0
200033955,"Help ""Project"" The Lewis Theatre Into The Future!",Theater,259,39330.0,39000.0
1112826153,EVIL INTENT the board game,Games,604,39643.0,25000.0
284931806,Elby: A long lasting vulcanized shoe from Brooklyn Workshop,Design,115,38879.0,37000.0
407051177,12 Pairs of SUNGLASSES for the Price of 1 - shades club™,Fashion,2958,321908.55,20000.0
2101214965,Ruggedized/Wearable iPhone 5 Case & Mounts for Active Users,Design,89,14877.0,75000.0
2111312326,The LIVE ART Documentary,Film & Video,304,33964.26,20000.0
1757099940,Archon: Glory and Machination,Games,726,53861.51,15000.0
251961628,OLLO ZERO - Parkour and Freerunning Footwear,Design,451,47133.0,30000.0
1861042142,FAVOR - Feature Film,Film & Video,283,21335.0,20000.0
1162251515,Carbon 6 Forged Carbon Fiber Glow Rings,Design,3431,408861.0,11500.0
1355418713,"FIT Roller: Ultimate Warm Up, Performance, and Recovery Tool",Design,461,43000.0,35000.0
973411861,CordCruncher Headphones,Design,1548,66689.0,20000.0
1724820366,The Ultimate One - Quad Mountain (iPod Watch Wristband),Design,228,12340.0,7800.0
980827271,New music video to help support NYC's dance music scene,Music,72,10520.0,10000.0
194898988,Bisecu : The most advanced smart bike lock.,Technology,283,58771.0,30000.0
1638345552,ATELEIA Brass Pen and Leather Journal,Design,185,15270.0,10000.0
74878372,Lavender Hall,Film & Video,133,10778.0,10000.0
1505295627,Hermanos,Film & Video,34,10165.0,10000.0
514980489,Gremolata & Cancellaresca Milanese,Design,354,47382.89,25000.0
841730210,"WONDERCUTTER : Ultrasonic Cutter. 40,000 Vibrates per sec.",Technology,474,135139.0,50000.0
1889428166,"""The trips and sips of Thomas Tippins""--The Drinking Deck",Games,469,11474.0,9000.0
1216159734,"Becoming Visible, portraits of homeless transgender teens",Photography,173,35348.0,30000.0
432162576,"Lairs: Build Your Lair, Then Defend It With Your Life",Games,606,21393.69,10000.0
1100872151,The Let's Make a Bunch of Logos Project Part 3,Design,475,26243.58,25.0
1225290659,")*( Publish ""The People of Burning Man"" Coffee Table Book",Photography,521,36830.69,25000.0
1389750437,Indian As Apple Pie TV,Film & Video,342,31896.33,30000.0
461116577,Break of Dawn - The Film,Film & Video,84,15116.0,25000.0
328725327,Off Your Rocker: The Party Game of Quirky Insanity!,Games,182,10415.3,10000.0
140682986,Oh Farkle! The Official Farkle Board Game™ (Canceled),Games,70,11878.0,10500.0
1861899142,Spin - The Gyroscopic Spintop,Technology,1871,152286.0,15000.0
181549351,Rome: Rise to Power,Games,307,14327.0,7500.0
