id,member_id,annual_inc,home_ownership,purpose,loan_amnt,int_rate,term,grade
63459002,67801839,131000.0,MORTGAGE,credit_card,35000.0,8.18, 36 months,B
2224979,2637150,125000.0,MORTGAGE,debt_consolidation,29700.0,15.31, 60 months,C
5979460,7451906,36070.0,MORTGAGE,debt_consolidation,6700.0,7.9, 36 months,A
57126822,60829645,90000.0,RENT,credit_card,18000.0,8.18, 60 months,B
1445209,1697667,90000.0,MORTGAGE,small_business,18000.0,7.62, 36 months,A
55078160,58648875,50000.0,RENT,credit_card,10000.0,13.33, 36 months,C
41099667,43975414,65000.0,OWN,credit_card,20000.0,13.99, 60 months,C
24786072,27228928,50000.0,MORTGAGE,debt_consolidation,22000.0,17.57, 60 months,D
63867489,68288208,70000.0,RENT,debt_consolidation,15000.0,5.32, 36 months,A
10132405,11983747,113904.0,MORTGAGE,credit_card,24000.0,6.03, 36 months,A
52385169,55864881,162500.0,RENT,credit_card,20000.0,13.99, 60 months,C
46568039,49705819,41200.0,RENT,credit_card,10000.0,7.89, 36 months,A
55278909,58859641,28000.0,RENT,debt_consolidation,8400.0,13.33, 36 months,C
36029786,38741463,72000.0,MORTGAGE,debt_consolidation,20000.0,8.19, 36 months,A
4798106,6040551,78000.0,RENT,credit_card,22000.0,12.12, 36 months,B
13038804,15070978,90000.0,RENT,debt_consolidation,18000.0,15.61, 36 months,C
51215979,54625708,70000.0,OWN,home_improvement,3600.0,11.53, 36 months,B
38618474,41402377,100000.0,MORTGAGE,debt_consolidation,28000.0,7.49, 36 months,A
43779340,46796059,70000.0,RENT,debt_consolidation,3200.0,14.65, 36 months,C
703621,895644,175000.0,MORTGAGE,home_improvement,12000.0,10.74, 36 months,B
6874851,1289769,94000.0,OWN,debt_consolidation,10000.0,18.25, 36 months,D
66390281,71114999,120000.0,MORTGAGE,credit_card,9000.0,5.32, 36 months,A
32989833,35653049,120000.0,RENT,debt_consolidation,21000.0,14.49, 36 months,C
38538281,41322146,100000.0,MORTGAGE,debt_consolidation,24000.0,8.67, 36 months,B
46804525,49952331,70000.0,MORTGAGE,debt_consolidation,20000.0,12.69, 60 months,C
59502822,63436613,53000.0,OWN,home_improvement,10000.0,12.69, 36 months,C
51536467,54946188,73402.0,MORTGAGE,credit_card,11000.0,9.99, 60 months,B
66482835,71208625,93000.0,MORTGAGE,debt_consolidation,30000.0,8.38, 36 months,B
57286021,60988800,81000.0,MORTGAGE,debt_consolidation,15000.0,13.33, 60 months,C
52949509,56449233,65000.0,MORTGAGE,car,17000.0,10.99, 60 months,B
5105111,6427379,42000.0,RENT,debt_consolidation,7200.0,19.72, 36 months,D
10122225,11973539,29500.0,RENT,debt_consolidation,10350.0,17.57, 36 months,D
21771078,24094028,60000.0,RENT,debt_consolidation,5300.0,6.03, 36 months,A
48070876,51310613,57500.0,MORTGAGE,debt_consolidation,15000.0,16.99, 60 months,D
60844035,64885854,63000.0,RENT,credit_card,6000.0,6.89, 36 months,A
10535517,12417599,113000.0,MORTGAGE,debt_consolidation,12000.0,7.62, 36 months,A
7084967,8747115,61000.0,MORTGAGE,debt_consolidation,25000.0,12.35, 60 months,B
53161559,56671286,37000.0,RENT,credit_card,10000.0,12.69, 60 months,C
4244872,5417042,113000.0,MORTGAGE,debt_consolidation,31300.0,21.0, 36 months,E
7456988,9119032,67000.0,MORTGAGE,debt_consolidation,22000.0,12.99, 36 months,B
57695263,61448045,75000.0,MORTGAGE,credit_card,7000.0,9.17, 36 months,B
9767550,11619458,74000.0,RENT,other,15000.0,10.99, 36 months,B
57226981,60929783,120000.0,RENT,debt_consolidation,34025.0,21.99, 60 months,F
65302450,69889172,15000.0,RENT,credit_card,6000.0,15.41, 36 months,D
2367804,2830227,45000.0,MORTGAGE,other,10000.0,19.05, 36 months,D
10145321,11997402,50000.0,RENT,credit_card,10000.0,8.9, 36 months,A
5334603,6686759,29000.0,MORTGAGE,debt_consolidation,7000.0,15.31, 36 months,C
38597384,41381205,101000.0,MORTGAGE,credit_card,25000.0,9.49, 60 months,B
65443840,70030594,100000.0,MORTGAGE,other,18000.0,6.89, 36 months,A
60811520,64843296,105000.0,MORTGAGE,debt_consolidation,4650.0,17.57, 36 months,D
52708485,56218212,88704.0,MORTGAGE,debt_consolidation,35000.0,18.25, 36 months,E
3297730,4070306,50000.0,MORTGAGE,debt_consolidation,5200.0,7.9, 36 months,A
54088028,57628762,58000.0,RENT,debt_consolidation,12000.0,12.69, 36 months,C
