Year,Total Live-births,1st Live-birth
1977,38364,16138
1978,39441,16424
1979,40779,17253
1980,41217,17968
1981,42250,18599
1982,42654,19105
1983,40585,18255
1984,41556,18071
1985,42484,18638
1986,38379,17336
1987,43616,17586
1988,52957,20522
1989,47669,19465
1990,51142,20325
1991,49114,19623
1992,49402,20307
1993,50225,20677
1994,49554,20438
1995,48635,20158
1996,48577,19804
1997,47333,19416
1998,43664,18860
1999,43336,18778
2000,46997,19930
2001,41451,17595
2002,40760,17524
2003,37485,16408
2004,37174,16624
2005,37492,16887
2006,38317,17266
2007,39490,18214
2008,39826,18957
2009,39570,18590
2010,37967,18130
2011,39654,19035
2012,42663,20755
2013,39720,19292
2014,42232,20327
2015,42185,20248
2016,41251,19392
