Name,Start date of trip,Duration of Visit,Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Gareth Bayley,2018-01-15,4,Bristol,To complete SAFE+ training,Rail,Economy,Nil Return,257.19,211.4,Nil Return
Gareth Bayley,2018-01-23,1,Berlin,Meetings with Federal Foreign Office officials to discuss Afghanistan and Pakistan,Air,Economy,119.17,381.21,500.38,Nil Return
Gareth Bayley,2018-01-30,10,"Kabul, Islamabad, Karachi",Meetings with British Embassy and High Commission staff and with senior officials in Government on Afghanistan and Pakistan,Air,"Economy/
Business",Nil Return,3591.45,3591.45,Nil Return
Gareth Bayley,2018-02-20,2,Washington,Meetings with US Department of state officials and think tanks on South Asia,Air,"Economy/
Business",Nil Return,4205.03,4205.03,Nil Return
Gareth Bayley,2018-02-27,3,Kabul,Attend Kabul Process II Conference,Air,Business,Nil Return,3983.37,3983.37,Nil Return
Gareth Bayley,2018-03-06,1,Brussels,Attend EU Asia-Oceania Working Party (COASI) Conference,Rail,Economy,153.29,238.56,391.85,Nil Return
Gareth Bayley,2018-03-22,1,Cheltenham,Bilateral Meetings,Rail,Economy,Nil Return,106.8,106.8,Nil Return
Gareth Bayley,2018-03-27,2,Tashkent,Conference on Afghanistan Peace Process,Air,Business,Nil Return,1894.66,1894.66,Nil Return
Edward Hobart,2018-02-25,3,Nairobi,Overseas Security conference and estates visit,Air,Business,Nil Return,Nil Return,2772,Nil Return
Edward Hobart,2018-02-28,1,Paris,Visit British Embassy and Estate ,Rail,Economy,180,Nil Return,630,Nil Return
Edward Hobart,2018-03-05,4,Kabul,Meet with Staff and Senior Officials to discuss security and Estate issues  ,Air,Business,13,335,4008,Nil Return
Edward Hobart,2018-03-26,1,Sofia,Meeting Ministry of Foreign Affairs Officials to discuss Kabul ,Air,Economy,Nil Return,Nil Return,780,Nil Return
Shamik Dhar,2018-02-07,1,York,Presentation at York University,Rail,Economy,Nil Return,Nil Return,183,Nil Return
Shamik Dhar,2018-02-26,1,Belfast,Outreach visit,Air,Economy,Nil Return,Nil Return,340,Nil Return
Shamik Dhar,2018-03-12,2,Warsaw,Familiarisation visit and presentation,Air,Economy,Nil Return,Nil Return,440,Nil Return
Robin Grimes,2018-02-12,2,"Paris, France",OECD 3rd Expert Group Meeting on Science Advice,"Rail, Taxi",Economy,348,0,637,Nil Return
Robin Grimes,2018-03-04,2,"Hereford, UK",Science Advisory Committee Meeting,Rail,Economy,0,0,82,Nil Return
Robin Grimes,2018-03-08,4,Taiwan,Science Diplomacy/support SIN engagement,"Air, Taxi",Business,5,13,1920,Nil Return
Robin Grimes,2018-03-26,5,"Sao Paulo, Brasilia, Campinas and Rio, Brazil",Brazil/UK Year of Science ,"Air, Taxi",Business/Economy,52,30,7108,Nil Return
Colin Martin-Reynolds,2018-02-08,1,Brussels,Tech Overhaul and Work Smarter meetings with Embassy staff,Air,Economy,Nil Return,Nil Return,477,Nil Return
Colin Martin-Reynolds,2018-02-18,2,Nigeria,Tech Overhaul and Work Smarter meetings with British High Commission staff,Air,Business,Nil Return,43,5810,Nil Return
Colin Martin-Reynolds,2018-02-26,1,Paris,Work Smarter meetings with Embassy staff,Air,Economy,Nil Return,Nil Return,113,Nil Return
Colin Martin-Reynolds,2018-03-05,2,Mexico,Tech Overhaul meetings with Embassy staff,Air,Business,Nil Return,Nil Return,2720,Nil Return
Colin Martin-Reynolds,2018-03-15,2,West Sussex,Directors' Event at Wilton Park,Rail,Economy,Nil Return,Nil Return,41,Nil Return
Martin Harris,2018-01-17,2,Paris,Talks with French Ministry of Foreign Affairs,Eurostar,Economy,215.72,157.91,373.91,Nil Return
