FloorArea,SalePrice
1950,151000
7252,134900
4230,208900
9000,139000
1680,119500
10690,147000
15611,233230
15660,311500
7313,277500
7800,225000
9337,204750
13474,225000
14006,192500
10452,155000
7200,133900
9453,194500
9541,233170
14260,250000
7500,185000
9600,135000
10335,204000
7945,141000
6000,134900
10226,295493
2001,75000
6627,72500
11409,131000
7742,127000
6000,89000
7700,112500
9000,80000
11160,244000
13869,177000
4500,164000
18800,190000
10400,241500
11302,319000
10778,136500
14154,280000
12615,243000
8400,144000
6120,133000
5720,66500
10680,137900
17671,168000
9196,201000
6563,275000
11911,174000
7728,132500
8993,176485
9842,189000
8480,132500
8750,210000
3696,170000
9204,124000
8814,203000
21695,222000
7200,123000
6000,112500
8885,131000
8400,129000
14541,310000
11500,250000
7820,318061
8294,123000
9200,315000
7446,100000
9350,158000
8400,145000
7200,107500
3635,175900
10918,234000
8532,153000
8339,106500
5350,76500
5500,130000
6300,128000
6000,117000
8125,186500
7200,125500
4923,286000
6292,91000
8740,137000
8536,155000
4130,52000
3636,55000
8320,185900
5700,116900
7200,185000
9825,100000
7500,177500
14000,158500
5000,127000
11584,197000
6780,84500
8400,174000
6600,107500
7134,130000
7596,124500
9591,274900
