id,name,artists,danceability,energy
6gBFPUFcJLzWGx4lenP6h,goosebumps,Travis Scott,0.841,0.728
6PCUP3dWmTjcTtXY02oFd,Castle on the Hill,Ed Sheeran,0.461,0.8340000000000001
3eR23VReFzcdmS7TYCrhC,It Ain't Me (with Selena Gomez),Kygo,0.64,0.5329999999999999
0tKcYR2II1VCQWT79i5Nr,Thunder,Imagine Dragons,0.6,0.81
6DNtNfH8hXkqOX1sjqmI7,Cold Water (feat. Justin Bieber & MØ),Major Lazer,0.608,0.7979999999999999
1a5Yu5L18qNxVhXx38njO,Hear Me Now,Alok,0.789,0.442
5tz69p7tJuGPeMGwNTxYu,1-800-273-8255,Logic,0.629,0.5720000000000001
79cuOz3SPQTuFrp8WgftA,There's Nothing Holdin' Me Back,Shawn Mendes,0.857,0.8
3a1lNhkSLSkpJE4MSHpDu,Congratulations,Post Malone,0.627,0.812
0tgVpDi06FyKpA1z0VMD4,Perfect,Ed Sheeran,0.599,0.44799999999999995
6520aj0B4FSKGVuKNsOCO,Chained To The Rhythm,Katy Perry,0.44799999999999995,0.8009999999999999
0KKkJNfGyhkQ5aFogxQAP,That's What I Like,Bruno Mars,0.853,0.56
3QwBODjSEzelZyVjxPOHd,Otra Vez (feat. J Balvin),Zion & Lennox,0.8320000000000001,0.772
1j4kHkkpqZRBwE0A4CN4Y,Dusk Till Dawn - Radio Edit,ZAYN,0.258,0.4370000000000001
343YBumqHu19cGoGARUTs,Fake Love,Drake,0.927,0.488
7hDc8b7IXETo14hHIHdnh,Passionfruit,Drake,0.809,0.46299999999999997
3A7qX2QjDlPnazUsRk5y0,2U (feat. Justin Bieber),David Guetta,0.5479999999999999,0.65
5bcTCxgc7xVfSaMV3RuVk,Feels,Calvin Harris,0.893,0.745
00lNx0OcTJrS3MKHcB80H,You Don't Know Me - Radio Edit,Jax Jones,0.8759999999999999,0.669
7qiZfU4dY1lWllzX7mPBI,Shape of You,Ed Sheeran,0.825,0.652
6HZILIRieu8S0iqY8kIKh,DNA.,Kendrick Lamar,0.637,0.514
6RUKPb4LETWmmr3iAEQkt,Something Just Like This,The Chainsmokers,0.617,0.635
4Km5HrUvYTaSUfiSGPJeQ,Bad and Boujee (feat. Lil Uzi Vert),Migos,0.927,0.665
4pdPtRcBmOSQDlJ3Fk945,Let Me Love You,DJ Snake,0.47600000000000003,0.718
5Z3GHaZ6ec9bsiI5Benrb,Young Dumb & Broke,Khalid,0.7979999999999999,0.539
6jA8HL9i4QGzsj6fjoxp8,There for You,Martin Garrix,0.611,0.644
6b8Be6ljOzmkOmFslEb23,24K Magic,Bruno Mars,0.818,0.8029999999999999
7vGuf3Y35N4wmASOKLUVV,Silence,Marshmello,0.52,0.7609999999999999
4b4KcovePX8Ke2cLIQTLM,All Night,The Vamps,0.544,0.809
7KXjTSCq5nL1LoYtL7XAw,HUMBLE.,Kendrick Lamar,0.904,0.611
